depth_from,depth_to,hole_id,rock,samp_id
0,2,WD004,S2,
2,6,WD004,SH,
6,15.4,WD004,ST,
15.4,16.65,WD004,QV1,
16.65,58.65,WD004,ST,
58.65,64.35,WD004,QV1,
64.35,100,WD004,ST,
0,1.5,WD005,S2,
1.5,4,WD005,SH,
4,24,WD005,ST,
24,37.75,WD005,QV1,
37.75,61.7,WD005,ST,
61.7,77.6,WD005,QV1,
77.6,100,WD005,ST,
0,4.5,WD011,S2,
4.5,8,WD011,SH,
8,88.7,WD011,ST,
88.7,99.15,WD011,QV1,
99.15,117.5,WD011,ST,
117.5,124.5,WD011,QV1,
124.5,130,WD011,ST,
0,0.5,WD016,S2,
0.5,1.5,WD016,SH,
1.5,81.5,WD016,ST,
81.5,87.6,WD016,QV1,
87.6,102.8,WD016,ST,
102.8,113.75,WD016,QV1,
113.75,133,WD016,ST,
133,135,WD016,QV1,
135,140,WD016,ST,
0,4,WD031,S2,
4,6.5,WD031,SH,
6.5,26.9,WD031,ST,
26.9,35,WD031,QV1,
35,120,WD031,ST,
0,0.5,WD032,S2,
0.5,3,WD032,SH,
3,50.85,WD032,ST,
50.85,65.15,WD032,QV1,
65.15,81.45,WD032,ST,
81.45,95,WD032,QV1,
95,105.35,WD032,ST,
105.35,112.25,WD032,QV1,
112.25,120,WD032,ST,
0,4,WD033,SH,
4,103,WD033,ST,
103,110,WD033,QV1,
110,120,WD033,ST,
0,5,WD064,S2,
5,13.5,WD064,SH,
13.5,34.5,WD064,ST,
34.5,39.22,WD064,MU,
39.22,100,WD064,ST,
0,0.5,WD095,S2,
0.5,3.5,WD095,IN,
3.5,6.5,WD095,SH,
6.5,11.5,WD095,ST,
11.5,17.2,WD095,QV1,
17.2,90,WD095,ST,
0,2,WRC001,S2,
2,3,WRC001,SH,
3,29,WRC001,ST,
29,37,WRC001,QV1,
37,72,WRC001,ST,
72,86,WRC001,QV1,
86,120,WRC001,ST,
0,1,WRC002,S2,
1,4,WRC002,SH,
4,72,WRC002,ST,
72,81,WRC002,QV1,
81,92,WRC002,ST,
92,98,WRC002,QV1,
98,110,WRC002,ST,
0,1,WRC003,S2,
1,2,WRC003,IN,
2,3,WRC003,SH,
3,4,WRC003,IN,
4,5,WRC003,SH,
5,56,WRC003,ST,
56,61,WRC003,MU,
61,80,WRC003,ST,
0,1,WRC006,S2,
1,9,WRC006,IN,
9,12,WRC006,SH,
12,80,WRC006,ST,
80,85,WRC006,MU,
85,120,WRC006,ST,
0,2,WRC007,SH,
2,4,WRC007,B,
4,130,WRC007,ST,
130,134,WRC007,QV1,
134,140,WRC007,ST,
0,2,WRC008,S2,
2,61,WRC008,ST,
61,72,WRC008,QV1,
72,91,WRC008,ST,
91,103,WRC008,QV1,
103,120,WRC008,ST,
0,3,WRC009,S2,
3,4,WRC009,SH,
4,53,WRC009,ST,
53,69,WRC009,QV1,
69,100,WRC009,ST,
0,1,WRC010,S2,
1,3,WRC010,SH,
3,71,WRC010,ST,
71,80,WRC010,QV1,
80,101,WRC010,ST,
101,105,WRC010,QV1,
105,126,WRC010,ST,
126,130,WRC010,QV1,
130,140,WRC010,ST,
0,2,WRC012,S2,
2,100,WRC012,ST,
100,115,WRC012,QV1,
115,130,WRC012,ST,
0,1,WRC013,S2,
1,2,WRC013,QV1,
2,35,WRC013,ST,
35,57,WRC013,QV1,
57,100,WRC013,ST,
0,5,WRC014,S2,
5,7,WRC014,SH,
7,85,WRC014,ST,
85,113,WRC014,QV1,
113,120,WRC014,ST,
0,3,WRC015,S2,
3,70,WRC015,ST,
70,92,WRC015,QV1,
92,120,WRC015,ST,
0,1,WRC017,S2,
1,4,WRC017,SH,
4,40,WRC017,ST,
40,45,WRC017,QV1,
45,120,WRC017,ST,
0,4,WRC018,S2,
4,6,WRC018,SH,
6,93,WRC018,ST,
93,96,WRC018,MU,
96,100,WRC018,ST,
0,1,WRC019,S2,
1,6,WRC019,SH,
6,111,WRC019,ST,
111,116,WRC019,QV1,
116,120,WRC019,ST,
0,2,WRC020,S2,
2,10,WRC020,SH,
10,51,WRC020,ST,
51,63,WRC020,QV1,
63,110,WRC020,ST,
0,18,WRC021,B,
18,19,WRC021,ST,
19,31,WRC021,QV1,
31,100,WRC021,ST,
0,1,WRC022,S2,
1,6,WRC022,IN,
6,8,WRC022,SH,
8,110,WRC022,ST,
110,115,WRC022,MU,
115,120,WRC022,ST,
0,3,WRC023,S2,
3,5,WRC023,SH,
5,29,WRC023,ST,
29,34,WRC023,MU,
34,50,WRC023,ST,
