azimuth,depth,dip,hole_id
0,0,-90,WD004
5.23,30,-88.7,WD004
2.5,60,-87,WD004
0,100,-90,WD005
0,0,-90,WD011
175.69,40,-81,WD011
178,100,-75,WD011
0,0,-90,WD016
2.35,50,-86.95,WD016
10.23,100,-78,WD016
1.34,120,-87.93,WD016
0,0,-90,WD031
176.21,50,-89.8,WD031
0,0,-90,WD032
78,50,-76,WD032
77,100,-77,WD032
0,0,-90,WD033
256.13,50,-86.41,WD033
254.18,100,-88.23,WD033
0,0,-90,WD064
330,50,-89,WD064
0,0,-90,WD095
2,50,-88,WD095
5,80,-87,WD095
0,120,-90,WRC001
0,110,-90,WRC002
0,80,-90,WRC003
0,120,-90,WRC006
0,140,-90,WRC007
0,0,-90,WRC008
7.89,30,-89.7,WRC008
174.3,60,-82,WRC008
0,120,-90,WRC008
0,100,-90,WRC009
0,140,-90,WRC010
0,130,-90,WRC012
0,100,-90,WRC013
0,120,-90,WRC014
0,120,-90,WRC015
0,120,-90,WRC017
0,100,-90,WRC018
0,120,-90,WRC019
0,110,-90,WRC020
0,100,-90,WRC021
0,120,-90,WRC022
0,50,-90,WRC023
0,50,-90,WRC024
0,140,-90,WRC025
0,100,-90,WRC026
0,60,-90,WRC027
0,100,-90,WRC028
0,100,-90,WRC029
0,120,-90,WRC030
0,150,-90,WRC034
0,40,-90,WRC035
0,70,-90,WRC036
0,150,-90,WRC037
0,50,-90,WRC038
0,50,-90,WRC039
0,90,-90,WRC040
0,100,-90,WRC041
0,90,-90,WRC042
0,50,-90,WRC043
0,100,-90,WRC044
0,100,-90,WRC045
0,50,-90,WRC046
0,70,-90,WRC048
0,40,-90,WRC049
0,100,-90,WRC050
0,90,-90,WRC051
0,150,-90,WRC052
0,110,-90,WRC053
0,110,-90,WRC054
0,100,-90,WRC055
0,50,-90,WRC056
0,40,-90,WRC057
0,100,-90,WRC058
0,90,-90,WRC059
0,70,-90,WRC060
0,30,-90,WRC061
0,100,-90,WRC062
0,100,-90,WRC063
0,100,-90,WRC065
0,120,-90,WRC066
0,100,-90,WRC067
0,30,-90,WRC068
0,140,-90,WRC069
0,100,-90,WRC070
0,20,-90,WRC071
0,30,-90,WRC072
0,130,-90,WRC073
0,100,-90,WRC074
0,70,-90,WRC075
0,150,-90,WRC076
0,120,-90,WRC077
0,80,-90,WRC078
0,150,-90,WRC079
0,150,-90,WRC080
0,170,-90,WRC081
0,120,-90,WRC082
0,150,-90,WRC083
0,150,-90,WRC084
0,120,-90,WRC085
0,100,-90,WRC086
0,120,-90,WRC087
0,20,-90,WRC088
0,70,-90,WRC089
0,70,-90,WRC090
0,100,-90,WRC091
0,100,-90,WRC092
0,100,-90,WRC093
0,140,-90,WRC094
